id,order_date,operation_type,created_by,created_at,details,metadata
876,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:59:45.714Z,"Order #1784383185122 created: 6 items, ₹149.00, upi","{""orderId"":1784383185122,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""upi"",""orderType"":""pack""}"
877,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:01:01.590Z,"Order #1784383260872 created: 6 items, ₹169.00, upi","{""orderId"":1784383260872,""itemCount"":6,""totalAmount"":169,""paymentMethod"":""upi"",""orderType"":""dine""}"
878,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:01:09.689Z,Order #1784383260872 completed: upi,"{""orderId"":1784383260872,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":169}"
879,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:01:19.518Z,Order #1784382120865 completed: upi,"{""orderId"":1784382120865,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":60,""totalAmount"":60}"
880,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:01:30.102Z,Order #1784382972774 completed: upi,"{""orderId"":1784382972774,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":139}"
881,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T14:02:32.315Z,"Order #1784383185122 updated: 6 items, ₹149.00, upi","{""orderId"":1784383185122,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""upi"",""orderType"":""pack""}"
882,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:04:33.564Z,"Order #1784383471936 created: 6 items, ₹149.00, upi","{""orderId"":1784383471936,""itemCount"":6,""totalAmount"":149,""paymentMethod"":""upi"",""orderType"":""pack""}"
883,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:06:30.659Z,"Order #1784383590102 created: 6 items, ₹139.00, upi","{""orderId"":1784383590102,""itemCount"":6,""totalAmount"":139,""paymentMethod"":""upi"",""orderType"":""dine""}"
884,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:11:35.001Z,Order #1784383185122 completed: upi,"{""orderId"":1784383185122,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":149}"
885,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:15:27.321Z,"Order #1784384125475 created: 12 items, ₹298.00, upi","{""orderId"":1784384125475,""itemCount"":12,""totalAmount"":298,""paymentMethod"":""upi"",""orderType"":""dine""}"
886,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:16:14.915Z,Order #1784384125475 completed: upi,"{""orderId"":1784384125475,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":298}"
887,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:16:18.589Z,Order #1784383590102 completed: upi,"{""orderId"":1784383590102,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":139}"
888,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:17:04.992Z,"Order #1784384221003 created: 6 items, ₹109.00, upi","{""orderId"":1784384221003,""itemCount"":6,""totalAmount"":109,""paymentMethod"":""upi"",""orderType"":""dine""}"
889,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T14:18:51.158Z,Order #1784383471936 completed: upi,"{""orderId"":1784383471936,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":149}"
890,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:27:00.768Z,"Order #1784384819077 created: 6 items, ₹89.00, upi","{""orderId"":1784384819077,""itemCount"":6,""totalAmount"":89,""paymentMethod"":""upi"",""orderType"":""dine""}"
891,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T14:28:43.109Z,"Order #1784384922550 created: 3 items, ₹60.00, cash","{""orderId"":1784384922550,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""cash"",""orderType"":""dine""}"
892,2026-07-18T00:00:00.000Z,order_update,1,2026-07-18T14:30:27.814Z,"Order #1784384922550 updated: 9 items, ₹149.00, cash","{""orderId"":1784384922550,""itemCount"":9,""totalAmount"":149,""paymentMethod"":""cash"",""orderType"":""dine""}"
